"region","parameter","value_coefficient_10","value_p_value","error_prediction_coefficient_10","error_prediction_p_value","value_difference_coefficient_10","value_difference_p_value","CountryCode","subregion"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"ad","ad"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"be","brussels"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"be","flanders"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"be","wallonia"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"ch","canton of bern"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"ch","schwyz"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"ch","ticino"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"ch","vaud"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"ch","zurich"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"de","baden-w<fc>rttemberg"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"de","bavaria"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"de","berlin"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"de","brandenburg"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"de","bremen"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"de","hamburg"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"de","hesse"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"de","lower saxony"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"de","mecklenburg-vorpommern"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"de","rhineland-palatinate"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"de","saarland"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"de","saxony-anhalt"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"de","thuringia"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"dk","capital region of denmark"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"dk","central denmark region"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"dk","region of southern denmark"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"dk","region zealand"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"es","andalusia"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"es","aragon"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"es","asturias"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"es","balearic islands"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"es","cantabria"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"es","castile and le<f3>n"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"es","community of madrid"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"es","extremadura"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"es","la rioja"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"es","region of murcia"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"ie","county dublin"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"it","emilia-romagna"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"it","lazio"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"lu","lu"
"WESTERN EUROPE","co",18.1144737603807,9.7827061733584e-06,NA,NA,-10.1708862912393,0.199483877603827,"nl","gelderland"
