"state","sub_region_gadm"
"pl","dolnoslaskie; kujawsko-pomorskie; lódzkie; lubelskie; lubuskie; malopolskie; mazowieckie; opolskie; podkarpackie; podlaskie; pomorskie; slaskie; swietokrzyskie; warminsko-mazurskie; wielkopolskie; zachodniopomorskie"
"pr","adjuntas; aguada; aguadilla; aguas buenas; aibonito; añasco; arecibo; arroyo; barceloneta; barranquitas; bayamón; cabo rojo; caguas; camuy; canóvanas; carolina; cataño; cayey; ceiba; ciales; cidra; coamo; comerío; corozal; culebra; dorado; fajardo; florida; guánica; guayama; guayanilla; guaynabo; gurabo; hatillo; hormigueros; humacao; isabela; jayuya; juana díaz; juncos; lajas; lares; las marías; las piedras; loíza; luquillo; manatí; maricao; maunabo; mayagüez; moca; morovis; naguabo; naranjito; orocovis; patillas; peñuelas; ponce; quebradillas; rincón; río grande; sabana grande; salinas; san germán; san juan; san lorenzo; san sebastián; santa isabel; toa alta; toa baja; trujillo alto; utuado; vega alta; vega baja; vieques; villalba; yabucoa; yauco; kumgangsan; sinuiju; madeira"
"kp","chagang-do; hamgyong-bukto; hamgyong-namdo; hwanghae-bukto; hwanghae-namdo; kaesong; kangwon-do; p'yongan-bukto; p'yongan-namdo; p'yongyang; rason; ryanggang"
"pt","aveiro; azores; beja; braga; bragança; castelo branco; coimbra; évora; faro; guarda; leiria; lisboa; portalegre; porto; santarém; setúbal; viana do castelo; vila real; viseu"
"py","alto paraguay; alto paraná; amambay; asunción; boquerón; caaguazú; caazapá; canindeyú; central; concepción; cordillera; guairá; itapúa; misiones; ñeembucú; paraguarí; presidente hayes; san pedro"
"ps","gaza; west bank"
"pf","îles australes ; îles du vent; îles marquises; îles sous-le-vent; îles tuamotu-gambier"
"qa","ad dawhah; al daayen; al khor; al wakrah; ar rayyan; madinat ash shamal; umm salal"
"re","saint-benoît; saint-denis; saint-paul; saint-pierre"
"ro","alba; arad; NA; bacau; bihor; NA; NA; NA; braila; bucharest; buzau; NA; NA; cluj; NA; covasna; NA; dolj; NA; giurgiu; gorj; harghita; hunedoara; NA; NA; ilfov; NA; NA; NA; NA; olt; prahova; salaj; satu mare; sibiu; suceava; teleorman; NA; tulcea; vâlcea; vaslui; vrancea"
"ru","adygey; altay; amur; arkhangel'sk; astrakhan'; bashkortostan; belgorod; bryansk; buryat; chechnya; chelyabinsk; chukot; chuvash; city of st. petersburg; dagestan; gorno-altay; ingush; irkutsk; ivanovo; kabardin-balkar; kaliningrad; kalmyk; kaluga; kamchatka; karachay-cherkess; karelia; kemerovo; khabarovsk; khakass; khanty-mansiy; kirov; komi; kostroma; krasnodar; krasnoyarsk; kurgan; kursk; leningrad; lipetsk; maga buryatdan; mariy-el; mordovia; moscow city; moskva; murmansk; nenets; nizhegorod; north ossetia; novgorod; novosibirsk; omsk; orel; orenburg; penza; perm'; primor'ye; pskov; rostov; ryazan'; sakha; sakhalin; samara; saratov; smolensk; stavropol'; sverdlovsk; tambov; tatarstan; tomsk; tula; tuva; tver'; tyumen'; udmurt; ul'yanovsk; vladimir; volgograd; vologda; voronezh; yamal-nenets; yaroslavl'; yevrey; zabaykal'ye"
"rw","amajyaruguru; amajyepfo; iburasirazuba; iburengerazuba; umujyi wa kigali"
"sa","`asir; al bahah; al hudud ash shamaliyah; al jawf; al madinah; al quassim; ar riyad; ash sharqiyah; ha'il; jizan; makkah; najran; tabuk"
"sd","al jazirah; al qadarif; blue nile; central darfur; east darfur; kassala; khartoum; north darfur; north kurdufan; northern; red sea; river nile; sennar; south darfur; south kurdufan; west darfur; west kurdufan; white nile; central equatoria; eastern equatoria; jungoli; lakes; north bahr-al-ghazal; unity; upper nile; warap; west bahr-al-ghazal; west equatoria"
"sn","dakar; diourbel; fatick; kaffrine; kaolack; kédougou; kolda; louga; matam; saint-louis; sédhiou; tambacounda; thiès; ziguinchor"
"sg","central; east; north; north-east; west"
"sh","ascension; saint helena; tristan da cunha"
"sj","jan mayen; svalbard"
"sb","central; choiseul; guadalcanal; honiara; isabel; makira ulawa; malaita; rennell and bellona; temotu; western"
"sl","eastern; northern; southern; western"
"sv","ahuachapán; cabañas; chalatenango; cuscatlán; la libertad; la paz; la unión; morazán; san miguel; san salvador; san vicente; santa ana; sonsonate; usulután; jugovzhodna slovenija"
"sm","acquaviva; borgo maggiore; chiesanuova; domagnano; faetano; fiorentino; montegiardino; san marino; serravalle"
"so","awdal; bakool; banaadir; bari; bay; galguduud; gedo; hiiraan; jubbada dhexe; jubbada hoose; mudug; nugaal; sanaag; shabeellaha dhexe; shabeellaha hoose; sool; togdheer; woqooyi galbeed"
"pm","miquelon-langlade; saint-pierre"
"rs","borski; branicevski; grad beograd; jablanicki; južno-backi; južno-banatski; kolubarski; macvanski; moravicki; nišavski; pcinjski; pirotski; podunavski; pomoravski; rasinski; raški; severno-backi; severno-banatski; srednje-banatski; sremski; šumadijski; toplicki; zajecarski; zapadno-backi; zlatiborski; kosovska mitrovica; pecki; prizren"
"st","príncipe; são tomé"
"sr","brokopondo; commewijne; coronie; marowijne; nickerie; para; paramaribo; saramacca; sipaliwini; wanica"
"sk","banskobystrický; bratislavský; košický; nitriansky; prešovský; trenciansky; trnavský; žilinský"
"si","gorenjska; goriška; koroška; notranjsko-kraška; obalno-kraška; osrednjeslovenska; podravska; pomurska; savinjska; spodnjeposavska; zasavska"
"se","blekinge; dalarna; gävleborg; gotland; halland; jämtland; jönköping; kalmar; kronoberg; norrbotten; orebro; östergötland; skåne; södermanland; stockholm; uppsala; värmland; västerbotten; västernorrland; västmanland; västra götaland"
"sz","hhohho; lubombo; manzini; shiselweni"
"sc","anse aux pins; anse boileau; anse étoile; anse royale; au cap; baie lazare; baie sainte anne; beau vallon; bel air; belombre; cascade; english river; glacis; grand' anse; grand'anse praslin; la digue and inner islands; les mamelles; mont buxton; mont fleuri; outer islands; plaisance; pointe la rue; port glaud; roche caïman; saint louis; takamaka"
"sy","NA; aleppo; ar raqqah; as suwayda'; damascus; dar`a; dayr az zawr; hamah; hims; idlib; lattakia; quneitra; rif dimashq; tartus"
"tc","grand turk; middle caicos; north caicos; providenciales and west caicos; salt cay; south caicos and east caicos"
"td","barh el ghazel; batha; borkou; chari-baguirmi; ennedi est; ennedi ouest; guéra; hadjer-lamis; kanem; lac; logone occidental; logone oriental; mandoul; mayo-kebbi est; mayo-kebbi ouest; moyen-chari; ouaddaï; salamat; sila; tandjilé; tibesti; ville de n'djamena; wadi fira"
"tg","centre; kara; maritime; plateaux; savanes"
"th","amnat charoen; ang thong; bangkok metropolis; bueng kan; buri ram; chachoengsao; chai nat; chaiyaphum; chanthaburi; chiang mai; chiang rai; chon buri; chumphon; kalasin; kamphaeng phet; kanchanaburi; khon kaen; krabi; lampang; lamphun; loei; lop buri; mae hong son; maha sarakham; mukdahan; nakhon nayok; nakhon pathom; nakhon phanom; nakhon ratchasima; nakhon sawan; nakhon si thammarat; nan; narathiwat; nong bua lam phu; nong khai; nonthaburi; pathum thani; pattani; phangnga; phatthalung; phayao; phetchabun; phetchaburi; phichit; phitsanulok; phra nakhon si ayutthaya; phrae; phuket; prachin buri; prachuap khiri khan; ranong; ratchaburi; rayong; roi et; sa kaeo; sakon nakhon; samut prakan; samut sakhon; samut songkhram; saraburi; satun; si sa ket; sing buri; songkhla; sukhothai; suphan buri; surat thani; surin; tak; trang; trat; ubon ratchathani; udon thani; uthai thani; uttaradit; yala; yasothon"
"tj","dushanbe; gorno-badakhshan; khatlon; leninabad; tadzhikistan territories"
"tk","anafu; fakaofo; nukunonu"
"tm","ahal; asgabat; balkan; chardzhou; mary; tashauz"
"tp","aileu; ainaro; ambeno; baucau; bobonaro; covalima; dili; ermera; lautém; liquiçá; manatuto; manufahi; viqueque"
"to","'eua; ha'apai; niuas; tongatapu; vava'u"
"tt","arima; chaguanas; couva-tabaquite-talparo; diego martin; mayaro/rio claro; penal-debe; point fortin; port of spain; princes town; san fernando; san juan-laventille; sangre grande; siparia; tobago; tunapuna/piarco"
"tn","ariana; béja; ben arous (tunis sud); bizerte; gabès; gafsa; jendouba; kairouan; kassérine; kebili; le kef; mahdia; manubah; médenine; monastir; nabeul; sfax; sidi bou zid; siliana; sousse; tataouine; tozeur; tunis; zaghouan"
"tr","adana; adiyaman; afyon; agri; aksaray; amasya; ankara; antalya; ardahan; artvin; aydin; balikesir; bartin; batman; bayburt; bilecik; bingöl; bitlis; bolu; burdur; bursa; çanakkale; çankiri; çorum; denizli; diyarbakir; düzce; edirne; elazig; erzincan; erzurum; eskisehir; gaziantep; giresun; gümüshane; hakkari; hatay; igdir; isparta; istanbul; izmir; k. maras; karabük; karaman; kars; kastamonu; kayseri; kilis; kinkkale; kirklareli; kirsehir; kocaeli; konya; kütahya; malatya; manisa; mardin; mersin; mugla; mus; nevsehir; nigde; ordu; osmaniye; rize; sakarya; samsun; sanliurfa; siirt; sinop; sirnak; sivas; tekirdag; tokat; trabzon; tunceli; usak; van; yalova; yozgat; zinguldak"
"tv","funafuti; nanumanga; nanumea; niulakita; niutao; nui; nukufetau; nukulaelae; vaitupu"
"tw","fujian; kaohsiung; new taipei; taichung; tainan; taipei; taiwan"
"tz","arusha; dar es salaam; dodoma; geita; iringa; kagera; katavi; kigoma; kilimanjaro; lindi; manyara; mara; mbeya; morogoro; mtwara; mwanza; njombe; pemba north; pemba south; pwani; rukwa; ruvuma; shinyanga; simiyu; singida; tabora; tanga; zanzibar north; zanzibar south and central; zanzibar west"
"ug","adjumani; apac; arua; bugiri; bundibugyo; bushenyi; busia; gulu; hoima; iganga; jinja; kabale; kabarole; kaberamaido; kalangala; kampala; kamuli; kamwenge; kanungu; kapchorwa; kasese; katakwi; kayunga; kibale; kiboga; kisoro; kitgum; kotido; kumi; kyenjojo; lake albert; lake victoria; lira; luwero; masaka; masindi; mayuge; mbale; mbarara; moroto; moyo; mpigi; mubende; mukono; nakapiripirit; nakasongola; nebbi; ntungamo; pader; pallisa; rakai; rukungiri; sembabule; sironko; soroti; tororo; wakiso; yumbe"
"ua","cherkasy; chernihiv; chernivtsi; crimea; dnipropetrovs'k; donets'k; ivano-frankivs'k; kharkiv; kherson; khmel'nyts'kyy; kiev; kiev city; kirovohrad; l'viv; luhans'k; mykolayiv; odessa; poltava; rivne; sevastopol'; sumy; ternopil'; transcarpathia; vinnytsya; volyn; zaporizhzhya; zhytomyr"
"us","baker; howland; jarvis island; johnston; kingman reef; midway; navassa; palmyra; wake; alabama; alaska; arizona; arkansas; california; colorado; connecticut; delaware; district of columbia; florida; georgia; hawaii; idaho; illinois; indiana; iowa; kansas; kentucky; louisiana; maine; maryland; massachusetts; michigan; minnesota; mississippi; missouri; montana; nebraska; nevada; new hampshire; new jersey; new mexico; new york; north carolina; north dakota; ohio; oklahoma; oregon; pennsylvania; rhode island; south carolina; south dakota; tennessee; texas; utah; vermont; virginia; washington; west virginia; wisconsin; wyoming"
"uy","artigas; canelones; cerro largo; colonia; durazno; flores; florida; lavalleja; maldonado; montevideo; paysandú; río negro; rivera; rocha; salto; san josé; soriano; tacuarembó; treinta y tres"
"uz","andijon; bukhoro; ferghana; jizzakh; karakalpakstan; kashkadarya; khorezm; namangan; navoi; samarkand; sirdaryo; surkhandarya; tashkent; tashkent city"
"vc","charlotte; grenadines; saint andrew; saint david; saint george; saint patrick"
"ve","amazonas; anzoátegui; apure; aragua; barinas; bolívar; carabobo; cojedes; delta amacuro; dependencias federales; distrito capital; falcón; guárico; lara; mérida; miranda; monagas; nueva esparta; portuguesa; sucre; táchira; trujillo; vargas; yaracuy; zulia"
"vg","anegada; jost van dyke; other islands; tortola; virgin gorda"
"vi","saint croix; saint john; saint thomas"
"vn","an giang; NA; NA; NA; NA; NA; NA; NA; bình duong; NA; NA; NA; cà mau; NA; NA; NA; NA; NA; NA; NA; gia lai; NA; NA; NA; NA; hà giang; NA; hà nam; hà tinh; hoà bình; hung yên; khánh hòa; kiên giang; kon tum; NA; lai châu; NA; lào cai; long an; NA; NA; ninh bình; NA; NA; phú yên; NA; NA; NA; NA; NA; sóc trang; son la; tây ninh; NA; thái bình; thái nguyên; thanh hóa; NA; trà vinh; tuyên quang; vinh long; vinh phúc; yên bái"
"vu","malampa; penama; sanma; shefa; tafea; torba"
"wf","alo; singave; uvéa"
"ws","a'ana; aiga-i-le-tai; atua; fa'asaleleaga; gaga'emauga; gagaifomauga; palauli; satupa'itea; tuamasaga; va'a-o-fonoti; vaisigano"
"xa","akrotiri; dhekelia"
"xk","ðakovica; gnjilane; pristina; uroševac"
"ye","`adan; abyan; al bayda'; al dali'; al hudaydah; al jawf; al mahrah; al mahwit; amanat al asimah; amran; dhamar; hadramawt; hajjah; ibb; lahij; ma'rib; raymah; sa`dah; san`a'; shabwah; ta`izz"
"za","eastern cape; free state; gauteng; kwazulu-natal; limpopo; mpumalanga; north west; northern cape; western cape"
"zm","central; copperbelt; eastern; luapula; lusaka; muchinga; north-western; northern; southern; western"
"zw","bulawayo; harare; manicaland; mashonaland central; mashonaland east; mashonaland west; masvingo; matabeleland north; matabeleland south; midlands"
