"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,241,"ARE","United Arab Emirates",1,"Abu Dhabi","Emirate","Emirate",NA,"Aboû Dabî|Abu Dabi|Abu <U+1E92>abi|Abu <U+1E92>aby"
2,241,"ARE","United Arab Emirates",2,"Ajman","Emirate","Emirate",NA,"`Adjmân|Ajmã|`Ajman"
3,241,"ARE","United Arab Emirates",3,"Dubay","Emirate","Emirate",NA,"Dibay|Doubaï|Dubai, Dubayy"
4,241,"ARE","United Arab Emirates",4,"Fujayrah","Emirate","Emirate",NA,"Al Foudjaïrah, Fudjayra|Al Fujayrah, Fujaira, Fujairah, Fujeira"
5,241,"ARE","United Arab Emirates",5,"Neutral Zone","Emirate","Emirate",NA,NA
6,241,"ARE","United Arab Emirates",6,"Ras Al Khaymah","Emirate","Emirate",NA,"Ras al Khaima|Râs al Khaïmah|Ra's al Khayma|Ra's al Khaymah"
7,241,"ARE","United Arab Emirates",7,"Sharjah","Emirate","Emirate",NA,"Ach Chârdjah|Chardja|Ash Shariqah|Ash Sharjah|Sharjah and Dependencies|Sharjah and Kalba"
8,241,"ARE","United Arab Emirates",8,"Umm Al Qaywayn","Emirate","Emirate",NA,"Oumm al Qaïwaïn|Umm al Qi`iwayn|Qaiwan|Umm al Qaiwain|Umm al Qayqayn|Umm al Qaywayn|Umm el Quwain|Um al Qaiuan"
