"shanxi","cn","shanxi","ASIA (EX. NEAR EAST)"
"sichuan","cn","sichuan","ASIA (EX. NEAR EAST)"
"tianjin","cn","tianjin","ASIA (EX. NEAR EAST)"
"tibet","cn","yunnan","ASIA (EX. NEAR EAST)"
"xinjiang","cn","xinjiang uygur","ASIA (EX. NEAR EAST)"
"yunnan","cn","yunnan","ASIA (EX. NEAR EAST)"
"zhejiang","cn","zhejiang","ASIA (EX. NEAR EAST)"
"antioquia","co","antioquia","LATIN AMER. & CARIB"
"bogota","co","cundinamarca","LATIN AMER. & CARIB"
"san josé province","cr","san josé","LATIN AMER. & CARIB"
"curaçao","cw",NA,NA
"central bohemian region","cz","stredoceský","EASTERN EUROPE"
"hradec králové region","cz","královéhradecký","EASTERN EUROPE"
"karlovy vary region","cz","karlovarský","EASTERN EUROPE"
"liberec region","cz","liberecký","EASTERN EUROPE"
"moravian-silesian region","cz","moravskoslezský","EASTERN EUROPE"
"olomouc region","cz","olomoucký","EASTERN EUROPE"
"pardubice region","cz","pardubický","EASTERN EUROPE"
"plzen region","cz","plzenský","EASTERN EUROPE"
"prague","cz","prague","EASTERN EUROPE"
"south bohemian region","cz","jihoceský","EASTERN EUROPE"
"south moravian region","cz","jihomoravský","EASTERN EUROPE"
"vysocina region","cz","kraj vysocina","EASTERN EUROPE"
"zlin region","cz","zlínský","EASTERN EUROPE"
"ústí nad labem region","cz","ústecký","EASTERN EUROPE"
"baden-württemberg","de","baden-württemberg","WESTERN EUROPE"
"bavaria","de","bayern","WESTERN EUROPE"
"berlin","de","berlin","WESTERN EUROPE"
"brandenburg","de","brandenburg","WESTERN EUROPE"
"bremen","de","bremen","WESTERN EUROPE"
"hamburg","de","hamburg","WESTERN EUROPE"
"hesse","de","hessen","WESTERN EUROPE"
"lower saxony","de","niedersachsen","WESTERN EUROPE"
"mecklenburg-vorpommern","de","mecklenburg-vorpommern","WESTERN EUROPE"
"north rhine-westphalia","de","nordrhein-westfalen","WESTERN EUROPE"
"rhineland-palatinate","de","rheinland-pfalz","WESTERN EUROPE"
"saarland","de","saarland","WESTERN EUROPE"
"saxony","de","sachsen","WESTERN EUROPE"
"saxony-anhalt","de","sachsen-anhalt","WESTERN EUROPE"
"schleswig-holstein","de","schleswig-holstein","WESTERN EUROPE"
"thuringia","de","thüringen","WESTERN EUROPE"
"capital region of denmark","dk","hovedstaden","WESTERN EUROPE"
"central denmark region","dk","midtjylland","WESTERN EUROPE"
"north denmark region","dk","nordjylland","WESTERN EUROPE"
"region of southern denmark","dk","syddanmark","WESTERN EUROPE"
"region zealand","dk","sjælland","WESTERN EUROPE"
"algiers province","dz","alger","NORTHERN AFRICA"
"harju county","ee","harju","EASTERN EUROPE"
"ida-viru county","ee","ida-viru","EASTERN EUROPE"
"jõgeva county","ee","jõgeva","EASTERN EUROPE"
"lääne-viru county","ee","lääne-viru","EASTERN EUROPE"
"saare county","ee","saare","EASTERN EUROPE"
"tartu county","ee","tartu","EASTERN EUROPE"
"andalusia","es","andalucía","WESTERN EUROPE"
"aragon","es","aragón","WESTERN EUROPE"
"asturias","es","principado de asturias","WESTERN EUROPE"
"balearic islands","es","islas baleares","WESTERN EUROPE"
"basque country","es","país vasco","WESTERN EUROPE"
"canary islands","es","islas canarias","WESTERN EUROPE"
"cantabria","es","cantabria","WESTERN EUROPE"
"castile and león","es","castilla y león","WESTERN EUROPE"
"castile-la mancha","es","castilla-la mancha","WESTERN EUROPE"
"catalonia","es","cataluña","WESTERN EUROPE"
"community of madrid","es","comunidad de madrid","WESTERN EUROPE"
"extremadura","es","extremadura","WESTERN EUROPE"
"galicia","es","galicia","WESTERN EUROPE"
"la rioja","es","la rioja","WESTERN EUROPE"
"navarre","es","comunidad foral de navarra","WESTERN EUROPE"
"region of murcia","es","región de murcia","WESTERN EUROPE"
"spain","es",NA,"WESTERN EUROPE"
"valencian community","es","comunidad valenciana","WESTERN EUROPE"
"addis ababa","et","addis abeba","SUB-SAHARAN AFRICA"
"central finland","fi","eastern finland","WESTERN EUROPE"
"central ostrobothnia","fi","western finland","WESTERN EUROPE"
"kainuu","fi","oulu","WESTERN EUROPE"
"kymenlaakso","fi","southern finland","WESTERN EUROPE"
"lapland","fi","lapland","WESTERN EUROPE"
"north karelia","fi","eastern finland","WESTERN EUROPE"
"northern ostrobothnia","fi","oulu","WESTERN EUROPE"
