"region","parameter","subregion","value_effect"
"EASTERN EUROPE","no2","lower silesian voivodeship",89.9309151390743
"EASTERN EUROPE","no2","lublin voivodeship",87.6337723738195
"EASTERN EUROPE","no2","lubusz voivodeship",84.8759846830418
"EASTERN EUROPE","no2","masovian voivodeship",89.4779565199427
"EASTERN EUROPE","no2","opole voivodeship",86.8994479718171
"EASTERN EUROPE","no2","podkarpackie voivodeship",87.5342915277771
"EASTERN EUROPE","no2","podlaskie voivodeship",85.972797003308
"EASTERN EUROPE","no2","pomeranian voivodeship",86.6739192063394
"EASTERN EUROPE","no2","silesian voivodeship",85.560766706656
"EASTERN EUROPE","no2","swietokrzyskie",86.0052269118912
"EASTERN EUROPE","no2","warmian-masurian voivodeship",84.642511782004
"EASTERN EUROPE","no2","west pomeranian voivodeship",85.371817036337
"EASTERN EUROPE","no2","rs",113.644815777441
"EASTERN EUROPE","o3","ba",63.4958789951911
"EASTERN EUROPE","o3","<fa>st<ed> nad labem region",52.681964538889
"EASTERN EUROPE","o3","central bohemian region",51.6700507872889
"EASTERN EUROPE","o3","hradec kr<e1>lov<e9> region",57.5921109150203
"EASTERN EUROPE","o3","karlovy vary region",56.6954256571966
"EASTERN EUROPE","o3","liberec region",55.4937493185366
"EASTERN EUROPE","o3","moravian-silesian region",56.3803088937989
"EASTERN EUROPE","o3","olomouc region",59.1774495393234
"EASTERN EUROPE","o3","pardubice region",59.3342058126958
"EASTERN EUROPE","o3","plzen region",54.6266816871651
"EASTERN EUROPE","o3","prague",61.0892570557134
"EASTERN EUROPE","o3","south bohemian region",55.6398819834821
"EASTERN EUROPE","o3","south moravian region",56.1122700359012
"EASTERN EUROPE","o3","vysocina region",54.6266545385753
"EASTERN EUROPE","o3","zlin region",57.8035854916695
"EASTERN EUROPE","o3","city of zagreb",64.6189994431086
"EASTERN EUROPE","o3","krapina-zagorje county",60.5518458621217
"EASTERN EUROPE","o3","lika-senj county",57.9380752552273
"EASTERN EUROPE","o3","osijek-baranja county",64.4768082252321
"EASTERN EUROPE","o3","primorje-gorski kotar county",65.3396300119899
"EASTERN EUROPE","o3","split-dalmatia county",66.4340401161769
"EASTERN EUROPE","o3","zagreb county",64.1674907516357
"EASTERN EUROPE","o3","baranya",60.54614907828
"EASTERN EUROPE","o3","borsod-aba<fa>j-zempl<e9>n",54.3241030101022
"EASTERN EUROPE","o3","budapest",68.2596391007368
"EASTERN EUROPE","o3","fej<e9>r",60.2487274519421
"EASTERN EUROPE","o3","gyor-moson-sopron",62.8633767006423
"EASTERN EUROPE","o3","hajd<fa>-bihar",60.6914073666634
"EASTERN EUROPE","o3","kom<e1>rom-esztergom",56.3255936674808
"EASTERN EUROPE","o3","pest county",56.6018323974507
"EASTERN EUROPE","o3","veszpr<e9>m",55.2719923565384
"EASTERN EUROPE","o3","greater poland voivodeship",50.8130900441799
"EASTERN EUROPE","o3","kuyavian-pomeranian voivodeship",49.660992842131
"EASTERN EUROPE","o3","l<f3>dz voivodeship",48.9798125732896
"EASTERN EUROPE","o3","lesser poland voivodeship",54.1602610529661
"EASTERN EUROPE","o3","lower silesian voivodeship",54.3768170665017
"EASTERN EUROPE","o3","lublin voivodeship",52.0796743012468
"EASTERN EUROPE","o3","lubusz voivodeship",49.3218866104691
"EASTERN EUROPE","o3","masovian voivodeship",53.92385844737
"EASTERN EUROPE","o3","opole voivodeship",51.3453498992445
"EASTERN EUROPE","o3","podkarpackie voivodeship",51.9801934552044
"EASTERN EUROPE","o3","podlaskie voivodeship",50.4186989307354
"EASTERN EUROPE","o3","pomeranian voivodeship",51.1198211337667
"EASTERN EUROPE","o3","silesian voivodeship",50.0066686340833
"EASTERN EUROPE","o3","swietokrzyskie",50.4511288393186
"EASTERN EUROPE","o3","warmian-masurian voivodeship",49.0884137094313
"EASTERN EUROPE","o3","west pomeranian voivodeship",49.8177189637643
"EASTERN EUROPE","o3","rs",78.0907177048685
"EASTERN EUROPE","pm25","ba",78.6111949958366
"EASTERN EUROPE","pm25","<fa>st<ed> nad labem region",67.7972805395344
"EASTERN EUROPE","pm25","central bohemian region",66.7853667879344
"EASTERN EUROPE","pm25","hradec kr<e1>lov<e9> region",72.7074269156657
"EASTERN EUROPE","pm25","karlovy vary region",71.8107416578421
"EASTERN EUROPE","pm25","liberec region",70.609065319182
"EASTERN EUROPE","pm25","moravian-silesian region",71.4956248944444
"EASTERN EUROPE","pm25","olomouc region",74.2927655399689
"EASTERN EUROPE","pm25","pardubice region",74.4495218133413
"EASTERN EUROPE","pm25","plzen region",69.7419976878106
"EASTERN EUROPE","pm25","prague",76.2045730563589
"EASTERN EUROPE","pm25","south bohemian region",70.7551979841276
"EASTERN EUROPE","pm25","south moravian region",71.2275860365466
"EASTERN EUROPE","pm25","vysocina region",69.7419705392208
"EASTERN EUROPE","pm25","zlin region",72.918901492315
"EASTERN EUROPE","pm25","brod-posavina county",78.9067268659565
"EASTERN EUROPE","pm25","istria county",80.3038007603991
"EASTERN EUROPE","pm25","krapina-zagorje county",76.1217091135527
"EASTERN EUROPE","pm25","osijek-baranja county",79.910336901373
"EASTERN EUROPE","pm25","csongr<e1>d",74.3645557552571
"EASTERN EUROPE","pm25","greater poland voivodeship",65.9284060448253
"EASTERN EUROPE","pm25","kuyavian-pomeranian voivodeship",64.7763088427765
"EASTERN EUROPE","pm25","l<f3>dz voivodeship",64.0951285739351
"EASTERN EUROPE","pm25","lesser poland voivodeship",69.2755770536116
"EASTERN EUROPE","pm25","lower silesian voivodeship",69.4921330671471
"EASTERN EUROPE","pm25","lublin voivodeship",67.1949903018923
"EASTERN EUROPE","pm25","lubusz voivodeship",64.4372026111146
"EASTERN EUROPE","pm25","masovian voivodeship",69.0391744480155
"EASTERN EUROPE","pm25","opole voivodeship",66.4606658998899
"EASTERN EUROPE","pm25","podkarpackie voivodeship",67.0955094558499
"EASTERN EUROPE","pm25","podlaskie voivodeship",65.5340149313809
"EASTERN EUROPE","pm25","pomeranian voivodeship",66.2351371344122
"EASTERN EUROPE","pm25","silesian voivodeship",65.1219846347288
"EASTERN EUROPE","pm25","swietokrzyskie",65.566444839964
"EASTERN EUROPE","pm25","warmian-masurian voivodeship",64.2037297100768
"EASTERN EUROPE","pm25","west pomeranian voivodeship",64.9330349644098
"EASTERN EUROPE","pm25","rs",93.206033705514
"EASTERN EUROPE","so2","ba",80.4000829906259
"EASTERN EUROPE","so2","<fa>st<ed> nad labem region",69.5861685343237
"EASTERN EUROPE","so2","central bohemian region",68.5498352472367
"EASTERN EUROPE","so2","karlovy vary region",73.7012566150781
"EASTERN EUROPE","so2","liberec region",72.3979533139713
"EASTERN EUROPE","so2","moravian-silesian region",73.2845128892337
"EASTERN EUROPE","so2","olomouc region",76.056926838256
"EASTERN EUROPE","so2","pardubice region",76.2384098081306
"EASTERN EUROPE","so2","plzen region",71.5308856825999
"EASTERN EUROPE","so2","prague",77.6984678469493
"EASTERN EUROPE","so2","south bohemian region",72.5440859789169
"EASTERN EUROPE","so2","south moravian region",72.9150834394999
"EASTERN EUROPE","so2","vysocina region",71.5308585340101
"EASTERN EUROPE","so2","zlin region",74.7077894871043
"EASTERN EUROPE","so2","brod-posavina county",80.7329124418638
"EASTERN EUROPE","so2","city of zagreb",81.5232034385434
"EASTERN EUROPE","so2","krapina-zagorje county",77.7568679730928
"EASTERN EUROPE","so2","lika-senj county",77.1216972284216
"EASTERN EUROPE","so2","osijek-baranja county",81.3810122206669
"EASTERN EUROPE","so2","primorje-gorski kotar county",82.2438340074247
"EASTERN EUROPE","so2","split-dalmatia county",83.0129977558495
"EASTERN EUROPE","so2","baranya",77.4503530737148
"EASTERN EUROPE","so2","borsod-aba<fa>j-zempl<e9>n",71.2283070055369
"EASTERN EUROPE","so2","budapest",85.1638430961716
"EASTERN EUROPE","so2","csongr<e1>d",76.1534437500464
"EASTERN EUROPE","so2","fej<e9>r",77.1529314473768
"EASTERN EUROPE","so2","gyor-moson-sopron",79.767580696077
"EASTERN EUROPE","so2","hajd<fa>-bihar",77.5956113620982
"EASTERN EUROPE","so2","kom<e1>rom-esztergom",73.2297976629156
"EASTERN EUROPE","so2","pest county",73.5060363928855
"EASTERN EUROPE","so2","szabolcs-szatm<e1>r-bereg",70.2686426656655
"EASTERN EUROPE","so2","veszpr<e9>m",72.1761963519732
"EASTERN EUROPE","so2","greater poland voivodeship",67.7172940396146
"EASTERN EUROPE","so2","kuyavian-pomeranian voivodeship",66.5651968375658
"EASTERN EUROPE","so2","l<f3>dz voivodeship",65.8840165687244
"EASTERN EUROPE","so2","lesser poland voivodeship",71.0644650484009
"EASTERN EUROPE","so2","lower silesian voivodeship",71.2810210619365
"EASTERN EUROPE","so2","lublin voivodeship",68.9838782966816
"EASTERN EUROPE","so2","lubusz voivodeship",66.2260906059039
"EASTERN EUROPE","so2","masovian voivodeship",70.8280624428048
"EASTERN EUROPE","so2","opole voivodeship",68.2495538946793
"EASTERN EUROPE","so2","podkarpackie voivodeship",68.8843974506392
"EASTERN EUROPE","so2","podlaskie voivodeship",67.3229029261702
"EASTERN EUROPE","so2","pomeranian voivodeship",68.0240251292015
"EASTERN EUROPE","so2","silesian voivodeship",66.9108726295181
"EASTERN EUROPE","so2","swietokrzyskie",67.3553328347534
"EASTERN EUROPE","so2","warmian-masurian voivodeship",65.9926177048661
"EASTERN EUROPE","so2","west pomeranian voivodeship",66.7219229591991
"EASTERN EUROPE","so2","rs",94.9949217003033
"EASTERN EUROPE","pm10","<fa>st<ed> nad labem region",65.4404861989133
"EASTERN EUROPE","pm10","central bohemian region",64.4285724473132
"EASTERN EUROPE","pm10","hradec kr<e1>lov<e9> region",70.3506325750446
"EASTERN EUROPE","pm10","karlovy vary region",69.4539473172209
"EASTERN EUROPE","pm10","liberec region",68.2522709785609
"EASTERN EUROPE","pm10","moravian-silesian region",69.1388305538233
"EASTERN EUROPE","pm10","olomouc region",71.9359711993477
"EASTERN EUROPE","pm10","pardubice region",72.0927274727202
"EASTERN EUROPE","pm10","plzen region",67.3852033471894
"EASTERN EUROPE","pm10","prague",73.8477787157377
"EASTERN EUROPE","pm10","south bohemian region",68.3984036435064
"EASTERN EUROPE","pm10","south moravian region",68.8707916959255
"EASTERN EUROPE","pm10","vysocina region",67.3851761985997
"EASTERN EUROPE","pm10","zlin region",70.5621071516938
"EASTERN EUROPE","pm10","istria county",77.9470064197779
"EASTERN EUROPE","pm10","krapina-zagorje county",73.7649147729315
"EASTERN EUROPE","pm10","lika-senj county",70.6965969152516
"EASTERN EUROPE","pm10","osijek-baranja county",77.2353298852564
"EASTERN EUROPE","pm10","baranya",73.3046707383044
"EASTERN EUROPE","pm10","borsod-aba<fa>j-zempl<e9>n",67.0826246701265
"EASTERN EUROPE","pm10","budapest",81.0181607607611
"EASTERN EUROPE","pm10","csongr<e1>d",72.0077614146359
"EASTERN EUROPE","pm10","fej<e9>r",73.0072491119664
"EASTERN EUROPE","pm10","gyor-moson-sopron",75.6218983606666
"EASTERN EUROPE","pm10","hajd<fa>-bihar",73.4499290266877
"EASTERN EUROPE","pm10","kom<e1>rom-esztergom",69.0841153275051
"EASTERN EUROPE","pm10","pest county",69.360354057475
"EASTERN EUROPE","pm10","szabolcs-szatm<e1>r-bereg",66.122960330255
"EASTERN EUROPE","pm10","veszpr<e9>m",68.0305140165627
"EASTERN EUROPE","pm10","greater poland voivodeship",63.5716117042042
"EASTERN EUROPE","pm10","kuyavian-pomeranian voivodeship",62.4195145021553
"EASTERN EUROPE","pm10","l<f3>dz voivodeship",61.7383342333139
"EASTERN EUROPE","pm10","lesser poland voivodeship",66.9187827129904
"EASTERN EUROPE","pm10","lower silesian voivodeship",67.135338726526
"EASTERN EUROPE","pm10","lublin voivodeship",64.8381959612711
"EASTERN EUROPE","pm10","lubusz voivodeship",62.0804082704934
"EASTERN EUROPE","pm10","masovian voivodeship",66.6823801073943
"EASTERN EUROPE","pm10","opole voivodeship",64.1038715592688
"EASTERN EUROPE","pm10","podkarpackie voivodeship",64.7387151152287
"EASTERN EUROPE","pm10","podlaskie voivodeship",63.1772205907597
"EASTERN EUROPE","pm10","pomeranian voivodeship",63.878342793791
"EASTERN EUROPE","pm10","silesian voivodeship",62.7651902941077
"EASTERN EUROPE","pm10","swietokrzyskie",63.2096504993429
"EASTERN EUROPE","pm10","warmian-masurian voivodeship",61.8469353694556
"EASTERN EUROPE","pm10","west pomeranian voivodeship",62.5762406237886
"EASTERN EUROPE","pm10","rs",90.8492393648928
"EASTERN EUROPE","pm10","administrative unit maribor",92.7607201663028
"EASTERN EUROPE","pm10","celje",85.0136785586684
"EASTERN EUROPE","pm10","koper",86.9581719931233
"EASTERN EUROPE","pm10","ljubljana",91.7973036517756
"EASTERN EUROPE","pm10","nova gorica",86.4486853272975
"EASTERN EUROPE","pm10","trbovlje",78.4084844067091
"EASTERN EUROPE","pm10","zagorje ob savi",82.7265540481798
"NORTHERN AMERICA","co","alberta",219.178241946588
"NORTHERN AMERICA","co","british columbia",219.612554824998
"NORTHERN AMERICA","co","quebec",223.340906486203
"NORTHERN AMERICA","co","alaska",206.170067487229
"NORTHERN AMERICA","co","arizona",197.931902344764
"NORTHERN AMERICA","co","california",208.58768808669
"NORTHERN AMERICA","co","colorado",207.228796325766
"NORTHERN AMERICA","co","connecticut",208.49639702373
"NORTHERN AMERICA","co","district of columbia",216.476054874458
"NORTHERN AMERICA","co","florida",204.03897984657
"NORTHERN AMERICA","co","georgia",198.771249034946
"NORTHERN AMERICA","co","hawaii",215.964350935521
"NORTHERN AMERICA","co","idaho",197.586573716324
"NORTHERN AMERICA","co","illinois",200.287298718052
"NORTHERN AMERICA","co","indiana",199.759061330287
"NORTHERN AMERICA","co","iowa",198.949424085005
"NORTHERN AMERICA","co","kentucky",197.730109760715
"NORTHERN AMERICA","co","maine",205.073982963563
"NORTHERN AMERICA","co","maryland",207.824240329993
"NORTHERN AMERICA","co","massachusetts",209.626083231328
"NORTHERN AMERICA","co","michigan",208.283713664949
"NORTHERN AMERICA","co","minnesota",205.685360484634
"NORTHERN AMERICA","co","mississippi",195.929756385334
"NORTHERN AMERICA","co","missouri",196.841599478732
"NORTHERN AMERICA","co","montana",202.481039964728
"NORTHERN AMERICA","co","nebraska",198.146362748208
"NORTHERN AMERICA","co","nevada",199.303814779179
"NORTHERN AMERICA","co","new hampshire",205.404018495955
"NORTHERN AMERICA","co","new jersey",212.282544711619
"NORTHERN AMERICA","co","new mexico",198.041385528931
"NORTHERN AMERICA","co","north carolina",197.006952597117
"NORTHERN AMERICA","co","ohio",200.349928561384
"NORTHERN AMERICA","co","oklahoma",194.714990330301
"NORTHERN AMERICA","co","pennsylvania",206.75448674994
"NORTHERN AMERICA","co","rhode island",208.702860488873
"NORTHERN AMERICA","co","tennessee",195.578286522744
"NORTHERN AMERICA","co","utah",197.684575017594
"NORTHERN AMERICA","co","vermont",211.911077651968
"NORTHERN AMERICA","co","virginia",200.352191761923
"NORTHERN AMERICA","co","wisconsin",202.760018719105
"NORTHERN AMERICA","co","wyoming",196.83878742822
"NORTHERN AMERICA","no2","alberta",74.6371073824795
"NORTHERN AMERICA","no2","british columbia",75.071420260889
"NORTHERN AMERICA","no2","new brunswick",73.5126473051552
"NORTHERN AMERICA","no2","nova scotia",75.5407391386476
"NORTHERN AMERICA","no2","prince edward island",75.2317879007423
"NORTHERN AMERICA","no2","quebec",78.7997719220937
"NORTHERN AMERICA","no2","arizona",53.3907677806548
"NORTHERN AMERICA","no2","california",64.0465535225811
"NORTHERN AMERICA","no2","colorado",62.6876617616569
"NORTHERN AMERICA","no2","connecticut",63.9552624596212
"NORTHERN AMERICA","no2","district of columbia",71.9349203103485
"NORTHERN AMERICA","no2","florida",59.4978452824612
"NORTHERN AMERICA","no2","georgia",54.2301144708375
"NORTHERN AMERICA","no2","hawaii",71.4232163714122
"NORTHERN AMERICA","no2","idaho",53.0454391522152
"NORTHERN AMERICA","no2","indiana",55.2179267661775
"NORTHERN AMERICA","no2","iowa",54.4082895208956
"NORTHERN AMERICA","no2","kansas",54.5985313111334
"NORTHERN AMERICA","no2","kentucky",53.188975196606
"NORTHERN AMERICA","no2","maine",60.5328483994541
"NORTHERN AMERICA","no2","maryland",63.2831057658842
"NORTHERN AMERICA","no2","massachusetts",65.0849486672195
"NORTHERN AMERICA","no2","michigan",63.7425791008398
"NORTHERN AMERICA","no2","minnesota",61.1442259205248
"NORTHERN AMERICA","no2","missouri",52.3004649146232
"NORTHERN AMERICA","no2","montana",57.9451508664361
"NORTHERN AMERICA","no2","nevada",54.76268021507
"NORTHERN AMERICA","no2","new jersey",67.7414101475105
"NORTHERN AMERICA","no2","new mexico",53.5002509648218
"NORTHERN AMERICA","no2","north carolina",52.4658180330083
"NORTHERN AMERICA","no2","north dakota",57.6723312438036
"NORTHERN AMERICA","no2","ohio",55.808793997275
"NORTHERN AMERICA","no2","oklahoma",50.1738557661915
"NORTHERN AMERICA","no2","oregon",55.0230570140313
"NORTHERN AMERICA","no2","pennsylvania",62.2133521858313
"NORTHERN AMERICA","no2","rhode island",63.9757184120886
"NORTHERN AMERICA","no2","south carolina",51.7366021395299
"NORTHERN AMERICA","no2","utah",53.1434404534848
"NORTHERN AMERICA","no2","vermont",67.3699430878586
"NORTHERN AMERICA","no2","virginia",55.8110571978137
"NORTHERN AMERICA","no2","washington",58.4732027021211
"NORTHERN AMERICA","no2","wisconsin",58.2188841549961
"NORTHERN AMERICA","no2","wyoming",52.2976528641109
"NORTHERN AMERICA","o3","alberta",79.3599325433044
"NORTHERN AMERICA","o3","british columbia",79.7942454217139
"NORTHERN AMERICA","o3","new brunswick",78.2354724659801
"NORTHERN AMERICA","o3","newfoundland and labrador",78.0323557218583
"NORTHERN AMERICA","o3","northwest territories",78.1743713833452
"NORTHERN AMERICA","o3","nova scotia",80.2635642994725
"NORTHERN AMERICA","o3","ontario",82.0279956657868
"NORTHERN AMERICA","o3","prince edward island",79.9778855878658
"NORTHERN AMERICA","o3","quebec",83.5225970829187
"NORTHERN AMERICA","o3","saskatchewan",77.1298674366482
"NORTHERN AMERICA","o3","alabama",57.1368841232026
"NORTHERN AMERICA","o3","alaska",66.3517580839451
"NORTHERN AMERICA","o3","arizona",58.1135929414797
"NORTHERN AMERICA","o3","arkansas",54.4099648526838
"NORTHERN AMERICA","o3","california",68.769378683406
"NORTHERN AMERICA","o3","colorado",67.4104869224819
"NORTHERN AMERICA","o3","connecticut",68.6780876204462
"NORTHERN AMERICA","o3","delaware",68.3335116597586
"NORTHERN AMERICA","o3","district of columbia",76.6577454711735
"NORTHERN AMERICA","o3","florida",64.2206704432861
"NORTHERN AMERICA","o3","georgia",58.9529396316624
"NORTHERN AMERICA","o3","hawaii",76.1460415322371
"NORTHERN AMERICA","o3","idaho",57.7682643130402
"NORTHERN AMERICA","o3","illinois",60.4689893147677
"NORTHERN AMERICA","o3","indiana",59.9407519270025
"NORTHERN AMERICA","o3","iowa",59.1311146817206
"NORTHERN AMERICA","o3","kansas",59.3213564719583
"NORTHERN AMERICA","o3","kentucky",57.9118003574309
"NORTHERN AMERICA","o3","louisiana",62.0360857574128
"NORTHERN AMERICA","o3","maine",65.2556735602791
"NORTHERN AMERICA","o3","maryland",68.0059309267091
"NORTHERN AMERICA","o3","massachusetts",69.8077738280445
"NORTHERN AMERICA","o3","michigan",68.4654042616647
"NORTHERN AMERICA","o3","minnesota",65.8670510813497
"NORTHERN AMERICA","o3","mississippi",56.1114469820496
"NORTHERN AMERICA","o3","missouri",57.0232900754482
"NORTHERN AMERICA","o3","montana",62.5164488643194
"NORTHERN AMERICA","o3","nebraska",58.3280533449241
"NORTHERN AMERICA","o3","nevada",59.485505375895
"NORTHERN AMERICA","o3","new hampshire",65.5857090926713
"NORTHERN AMERICA","o3","new jersey",72.4642353083354
"NORTHERN AMERICA","o3","new mexico",58.2230761256468
"NORTHERN AMERICA","o3","new york",67.9006722258005
"NORTHERN AMERICA","o3","north carolina",57.1886431938332
"NORTHERN AMERICA","o3","north dakota",62.3951564046286
"NORTHERN AMERICA","o3","ohio",60.5316191581
"NORTHERN AMERICA","o3","oklahoma",54.8966809270165
"NORTHERN AMERICA","o3","oregon",59.7458821748562
"NORTHERN AMERICA","o3","pennsylvania",66.9361773466562
"NORTHERN AMERICA","o3","rhode island",68.6985435729136
"NORTHERN AMERICA","o3","south carolina",56.4594273003549
"NORTHERN AMERICA","o3","south dakota",59.6620760209486
"NORTHERN AMERICA","o3","tennessee",55.7029256364939
"NORTHERN AMERICA","o3","texas",58.2823722894515
"NORTHERN AMERICA","o3","utah",57.8662656143098
"NORTHERN AMERICA","o3","vermont",72.0927682486836
"NORTHERN AMERICA","o3","virginia",60.5338823586387
"NORTHERN AMERICA","o3","washington",63.196027862946
"NORTHERN AMERICA","o3","west virginia",58.6184569278973
"NORTHERN AMERICA","o3","wisconsin",62.9417093158211
"NORTHERN AMERICA","o3","wyoming",57.0204780249358
"NORTHERN AMERICA","pm10","british columbia",73.4936757665515
"NORTHERN AMERICA","pm10","alabama",50.8363144680401
"NORTHERN AMERICA","pm10","alaska",60.0511884287827
"NORTHERN AMERICA","pm10","arizona",51.8130232863173
"NORTHERN AMERICA","pm10","california",62.4688090282436
"NORTHERN AMERICA","pm10","colorado",61.1099172673194
"NORTHERN AMERICA","pm10","connecticut",62.3775179652838
"NORTHERN AMERICA","pm10","district of columbia",70.3571758160111
"NORTHERN AMERICA","pm10","florida",57.9201007881237
"NORTHERN AMERICA","pm10","georgia",52.6523699765
"NORTHERN AMERICA","pm10","hawaii",69.8454718770747
"NORTHERN AMERICA","pm10","idaho",51.4676946578778
"NORTHERN AMERICA","pm10","indiana",53.6401822718401
"NORTHERN AMERICA","pm10","kansas",53.0207868167959
"NORTHERN AMERICA","pm10","kentucky",51.6112307022685
"NORTHERN AMERICA","pm10","michigan",62.1648346065023
"NORTHERN AMERICA","pm10","minnesota",59.5664814261873
"NORTHERN AMERICA","pm10","missouri",50.7227204202858
"NORTHERN AMERICA","pm10","montana",56.215879209157
"NORTHERN AMERICA","pm10","nevada",53.1849357207325
"NORTHERN AMERICA","pm10","new hampshire",59.2851394375089
"NORTHERN AMERICA","pm10","new mexico",51.9225064704844
"NORTHERN AMERICA","pm10","new york",61.6001025706381
"NORTHERN AMERICA","pm10","north carolina",50.8880735386708
"NORTHERN AMERICA","pm10","north dakota",56.0945867494661
"NORTHERN AMERICA","pm10","ohio",54.2310495029376
"NORTHERN AMERICA","pm10","oklahoma",48.5961112718541
"NORTHERN AMERICA","pm10","oregon",53.4453125196938
"NORTHERN AMERICA","pm10","pennsylvania",60.6356076914938
"NORTHERN AMERICA","pm10","south carolina",50.1588576451925
"NORTHERN AMERICA","pm10","south dakota",53.3615063657862
"NORTHERN AMERICA","pm10","texas",51.9818026342891
"NORTHERN AMERICA","pm10","us",56.2628974916177
"NORTHERN AMERICA","pm10","washington",56.8954582077836
"NORTHERN AMERICA","pm10","wisconsin",56.6411396606587
"NORTHERN AMERICA","pm10","wyoming",50.7199083697734
"NORTHERN AMERICA","pm25","alberta",82.8615294210461
"NORTHERN AMERICA","pm25","british columbia",83.2958422994556
"NORTHERN AMERICA","pm25","new brunswick",81.7370693437218
"NORTHERN AMERICA","pm25","newfoundland and labrador",81.5339525996001
"NORTHERN AMERICA","pm25","nova scotia",83.7651611772142
"NORTHERN AMERICA","pm25","ontario",85.5295925435285
"NORTHERN AMERICA","pm25","prince edward island",83.4794824656075
"NORTHERN AMERICA","pm25","quebec",87.0241939606604
"NORTHERN AMERICA","pm25","saskatchewan",80.6314643143899
"NORTHERN AMERICA","pm25","alabama",60.6384810009443
"NORTHERN AMERICA","pm25","alaska",69.8533549616868
"NORTHERN AMERICA","pm25","arizona",61.6151898192214
"NORTHERN AMERICA","pm25","arkansas",57.9115617304255
"NORTHERN AMERICA","pm25","california",72.2709755611478
"NORTHERN AMERICA","pm25","colorado",70.9120838002236
"NORTHERN AMERICA","pm25","connecticut",72.1796844981879
"NORTHERN AMERICA","pm25","delaware",71.8351085375003
"NORTHERN AMERICA","pm25","district of columbia",80.1593423489152
"NORTHERN AMERICA","pm25","florida",67.7222673210279
"NORTHERN AMERICA","pm25","georgia",62.4545365094041
"NORTHERN AMERICA","pm25","hawaii",79.6476384099788
"NORTHERN AMERICA","pm25","idaho",61.2698611907819
"NORTHERN AMERICA","pm25","illinois",63.9705861925094
"NORTHERN AMERICA","pm25","indiana",63.4423488047442
"NORTHERN AMERICA","pm25","iowa",62.6327115594623
"NORTHERN AMERICA","pm25","kansas",62.8229533497
"NORTHERN AMERICA","pm25","kentucky",61.4133972351726
"NORTHERN AMERICA","pm25","louisiana",65.5376826351545
"NORTHERN AMERICA","pm25","maine",68.7572704380208
"NORTHERN AMERICA","pm25","maryland",71.5075278044508
"NORTHERN AMERICA","pm25","massachusetts",73.3093707057862
"NORTHERN AMERICA","pm25","michigan",71.9670011394064
"NORTHERN AMERICA","pm25","minnesota",69.3686479590914
"NORTHERN AMERICA","pm25","mississippi",59.6130438597913
"NORTHERN AMERICA","pm25","missouri",60.5248869531899
"NORTHERN AMERICA","pm25","montana",66.0180457420611
"NORTHERN AMERICA","pm25","nebraska",61.8296502226658
"NORTHERN AMERICA","pm25","nevada",62.9871022536367
"NORTHERN AMERICA","pm25","new hampshire",69.0873059704131
"NORTHERN AMERICA","pm25","new jersey",75.9658321860772
"NORTHERN AMERICA","pm25","new mexico",61.7246730033885
"NORTHERN AMERICA","pm25","new york",71.4022691035422
"NORTHERN AMERICA","pm25","north carolina",60.6902400715749
"NORTHERN AMERICA","pm25","north dakota",65.8967532823703
"NORTHERN AMERICA","pm25","ohio",64.0332160358417
"NORTHERN AMERICA","pm25","oklahoma",58.3982778047582
"NORTHERN AMERICA","pm25","oregon",63.2474790525979
"NORTHERN AMERICA","pm25","pennsylvania",70.4377742243979
"NORTHERN AMERICA","pm25","rhode island",72.2001404506553
"NORTHERN AMERICA","pm25","south carolina",59.9610241780966
"NORTHERN AMERICA","pm25","south dakota",63.1636728986903
"NORTHERN AMERICA","pm25","tennessee",59.2045225142356
"NORTHERN AMERICA","pm25","texas",61.7839691671932
"NORTHERN AMERICA","pm25","us",66.0650640245218
"NORTHERN AMERICA","pm25","utah",61.3678624920515
"NORTHERN AMERICA","pm25","vermont",75.5943651264253
"NORTHERN AMERICA","pm25","virginia",64.0354792363804
"NORTHERN AMERICA","pm25","washington",66.6976247406877
"NORTHERN AMERICA","pm25","wisconsin",66.4433061935628
"NORTHERN AMERICA","pm25","wyoming",60.5220749026775
"NORTHERN AMERICA","so2","alberta",78.749929415561
"NORTHERN AMERICA","so2","british columbia",79.1842422939705
"NORTHERN AMERICA","so2","nova scotia",78.2826460333562
"NORTHERN AMERICA","so2","alaska",66.2388195753483
"NORTHERN AMERICA","so2","arizona",57.5035898137363
"NORTHERN AMERICA","so2","california",68.1593755556627
"NORTHERN AMERICA","so2","delaware",67.1858027146112
"NORTHERN AMERICA","so2","district of columbia",76.0969575240388
"NORTHERN AMERICA","so2","florida",63.6106673155428
"NORTHERN AMERICA","so2","georgia",58.342936503919
"NORTHERN AMERICA","so2","hawaii",75.5360384044937
"NORTHERN AMERICA","so2","idaho",57.1582611852968
"NORTHERN AMERICA","so2","illinois",59.9239764698156
"NORTHERN AMERICA","so2","indiana",59.3307487992591
"NORTHERN AMERICA","so2","iowa",58.4498982738774
"NORTHERN AMERICA","so2","kansas",58.7113533442149
"NORTHERN AMERICA","so2","kentucky",57.3017972296875
"NORTHERN AMERICA","so2","maryland",67.3959277989657
"NORTHERN AMERICA","so2","massachusetts",69.1977707003011
"NORTHERN AMERICA","so2","michigan",67.8554011339213
"NORTHERN AMERICA","so2","minnesota",65.2570479536063
"NORTHERN AMERICA","so2","missouri",56.4132869477048
